metric,value
simulated_events,3805
simulation_time,999.13
spectral_radius,0.5732
stationary,true
final_pnl,8.30
max_pnl,8.50
min_pnl,0.00
raw_sharpe_like,0.346
max_drawdown,0.55
max_drawdown_pct,16.67
total_trades,96
spread_capture_ticks,1.72
trade_rate_per_second,0.096
final_inventory,-40
max_inventory,70
min_inventory,-40
mean_inventory,31.32
inventory_turnover,0.56
