Date,AAPL,ABBV,ABT,ACN,ADBE,AMGN,AMZN,AVGO,BMY,CMCSA,COST,CRM,CSCO,CVX,DHR,DIS,GOOGL,HD,HON,INTC,JNJ,JPM,KO,LLY,MA,MCD,META,MRK,MSFT,NEE,NKE,NVDA,ORCL,PEP,PG,PM,QCOM,RTX,TMO,TSLA,TXN,UNH,UNP,UPS,V,VZ,WFC,WMT,XOM
2015-09-25,25.70554542541504,35.59910583496094,33.03548812866211,80.23579406738281,83.12999725341797,100.9229507446289,26.212499618530273,9.623483657836914,41.390079498291016,20.071306228637695,121.6196517944336,71.20807647705078,18.697084426879883,49.10872268676758,34.795108795166016,91.1628189086914,31.726177215576172,90.30805969238281,70.4428939819336,22.60968017578125,67.7303695678711,45.9141960144043,28.335229873657227,70.11829376220703,85.4080581665039,74.97528839111328,91.96241760253906,33.95063018798828,38.04730224609375,18.674365997314453,54.03254318237305,0.5730310678482056,30.573495864868164,67.34820556640625,53.514854431152344,47.044185638427734,39.361392974853516,42.74203109741211,118.81616973876953,17.12733268737793,34.97755432128906,97.3973159790039,68.05580139160156,65.98149871826172,65.51715850830078,24.66650390625,38.14594268798828,17.502880096435547,46.223388671875
2015-09-28,25.196853637695312,33.52982711791992,31.580171585083008,79.41638946533203,80.5199966430664,96.34049987792969,25.202999114990234,9.176247596740723,39.4799919128418,19.457172393798828,119.94850158691406,67.86589050292969,18.43132209777832,47.888893127441406,33.6161003112793,89.51773071289062,30.93816375732422,88.26581573486328,68.9891357421875,22.570444107055664,68.00574493408203,44.80126953125,28.270872116088867,66.51478576660156,82.64842224121094,73.72303009033203,88.43342590332031,33.1429443359375,37.484466552734375,18.4736270904541,52.79627227783203,0.565507173538208,30.056167602539062,66.62767028808594,52.85206985473633,46.64811325073242,38.85847854614258,42.51190948486328,114.43744659423828,16.562000274658203,34.814422607421875,94.32567596435547,66.78252410888672,64.98600769042969,62.28252029418945,24.398752212524414,37.3234748840332,17.469942092895508,45.825721740722656
2015-09-29,24.439428329467773,33.715049743652344,31.93592071533203,79.95437622070312,79.83000183105469,97.49159240722656,24.803499221801758,9.086650848388672,40.503746032714844,19.574325561523438,120.09053802490234,67.21710205078125,18.416955947875977,48.1922721862793,33.9465446472168,90.36299896240234,30.85688591003418,87.34524536132812,69.68963623046875,22.9471435546875,69.24874114990234,44.696685791015625,28.36384391784668,66.9652328491211,83.03197479248047,74.89080047607422,85.91553497314453,33.30036163330078,37.614356994628906,18.329696655273438,51.72858428955078,0.5754581689834595,30.11553192138672,67.03836059570312,53.227657318115234,46.488502502441406,38.7771110534668,43.07496643066406,116.09400177001953,16.44333267211914,35.24452209472656,95.59785461425781,68.02434539794922,65.56726837158203,63.51521301269531,24.281612396240234,37.70877456665039,17.502880096435547,46.05926513671875
2015-09-30,24.717308044433594,34.74967956542969,32.51804733276367,81.32832336425781,82.22000122070312,100.76998138427734,25.594499588012695,9.4921236038208,40.93242263793945,20.192005157470703,120.80078887939453,68.24925231933594,18.855113983154297,49.854522705078125,34.81897735595703,92.88973236083984,31.63796043395996,89.34105682373047,71.32418823242188,23.6534481048584,69.47944641113281,45.54072570800781,28.692825317382812,69.80965423583984,84.30420684814453,75.69745635986328,89.1174087524414,33.806888580322266,38.32439041137695,18.4736270904541,53.15503692626953,0.5982728004455566,30.632875442504883,67.94623565673828,52.97728729248047,46.896392822265625,39.73860168457031,43.5694465637207,118.45772552490234,16.559999465942383,36.72013854980469,97.09603881835938,69.48623657226562,65.93473052978516,64.56253814697266,24.270448684692383,38.04960632324219,17.79375648498535,46.93033218383789
2015-10-01,24.555953979492188,35.209510803222656,32.95463943481445,81.4773178100586,83.75,102.16143035888672,26.035999298095703,9.274200439453125,41.520137786865234,20.380159378051758,120.79241180419922,71.67007446289062,18.630643844604492,49.513221740722656,34.86800003051758,93.3169174194336,31.8178653717041,90.53240966796875,71.33926391601562,23.543581008911133,69.34548950195312,45.876853942871094,28.463977813720703,71.05254364013672,84.87483215332031,75.88954162597656,90.15827178955078,33.7932014465332,38.6274528503418,18.284250259399414,53.52678298950195,0.5866228938102722,30.73464012145996,67.62200164794922,52.98466110229492,46.97324752807617,39.33180618286133,43.26099395751953,118.28335571289062,15.991999626159668,35.91930389404297,97.59820556640625,71.05029296875,65.86124420166016,64.8683853149414,23.963655471801758,38.116302490234375,17.637332916259766,46.74726867675781
2015-10-02,24.735231399536133,35.65019607543945,33.45590591430664,82.26361846923828,83.98999786376953,103.7933578491211,26.62700080871582,9.364557266235352,43.02744674682617,20.845195770263672,121.8786849975586,72.67271423339844,18.652366638183594,51.54202651977539,35.41147994995117,93.6168441772461,32.56077575683594,91.13580322265625,72.7176742553711,23.943822860717773,69.91114807128906,45.74895095825195,28.885921478271484,73.00447082519531,86.12837219238281,76.66549682617188,91.26851654052734,34.320247650146484,39.458709716796875,18.66111183166504,54.123313903808594,0.6019135117530823,31.28589630126953,67.84534454345703,53.330753326416016,47.262908935546875,40.72964096069336,43.95133972167969,120.59867858886719,16.504667282104492,36.16400146484375,99.45626831054688,72.22918701171875,66.39570617675781,65.49860382080078,23.89672088623047,37.98294448852539,17.83218002319336,47.89606857299805
2015-10-05,24.824865341186523,36.19944763183594,33.46399688720703,84.10934448242188,85.83999633789062,104.76229095458984,27.18400001525879,9.204346656799316,42.84768295288086,21.255189895629883,123.72540283203125,73.98994445800781,19.44161605834961,53.10947799682617,35.97128677368164,94.38941192626953,33.288822174072266,92.21105194091797,74.10365295410156,24.49317169189453,70.52890014648438,46.65925979614258,29.329330444335938,72.2120132446289,88.2425308227539,77.72570037841797,93.19164276123047,35.06635665893555,40.37654495239258,19.073942184448242,53.71696472167969,0.6169610023498535,31.87957000732422,69.03424072265625,53.91990661621094,48.303348541259766,41.587581634521484,45.17043685913086,122.5942611694336,16.40999984741211,37.17246627807617,100.142578125,73.6517562866211,67.83211517333984,66.94447326660156,24.54378318786621,38.835060119628906,18.076419830322266,48.483116149902344
2015-10-06,24.943634033203125,35.177581787109375,32.25124740600586,84.0100326538086,85.1500015258789,102.8826904296875,26.874000549316406,8.892269134521484,41.402591705322266,21.02345085144043,124.00942993164062,73.15438079833984,19.71677017211914,54.98028564453125,35.64439010620117,94.31669616699219,33.286842346191406,91.80880737304688,73.97560119628906,24.909107208251953,69.53153228759766,46.68184280395508,29.293560028076172,70.21003723144531,87.85899353027344,78.28653717041016,91.9921646118164,34.087520599365234,40.48046112060547,18.90919303894043,53.25014114379883,0.6249704957008362,31.998292922973633,69.94210815429688,54.052433013916016,48.17329406738281,41.654151916503906,45.31243133544922,120.21116638183594,16.097333908081055,37.41717529296875,97.12953186035156,73.40027618408203,67.76531219482422,66.8054428100586,24.577253341674805,38.55349349975586,18.024276733398438,49.16480255126953
2015-10-07,24.824865341186523,35.528846740722656,32.84953689575195,84.93702697753906,80.6500015258789,107.8585433959961,27.097000122070312,9.008440971374512,41.86586380004883,21.283706665039062,123.6333999633789,73.72453308105469,19.941232681274414,55.69447326660156,36.138816833496094,93.97132110595703,33.205562591552734,92.55917358398438,74.93972778320312,25.36428451538086,70.69264221191406,46.74201965332031,29.694055557250977,70.05990600585938,89.18963623046875,78.18659973144531,91.59565734863281,34.87468719482422,40.52375030517578,18.92434310913086,52.778987884521484,0.631523609161377,31.938919067382812,70.98686218261719,54.2880744934082,48.87086868286133,41.86863327026367,45.782440185546875,121.28643798828125,15.46399974822998,37.847251892089844,97.44757080078125,74.75211334228516,68.30645751953125,67.86203002929688,24.777851104736328,38.67205047607422,18.210895538330078,49.99168014526367
2015-10-08,24.538026809692383,35.79071044921875,33.27804946899414,86.91519165039062,82.26000213623047,109.20629119873047,26.658000946044922,8.86037540435791,41.83818817138672,21.74003791809082,126.72512817382812,73.81299591064453,20.209142684936523,56.825801849365234,36.32269287109375,95.08018493652344,33.056880950927734,93.6499252319336,76.12987518310547,25.521242141723633,70.76710510253906,46.74201965332031,30.023048400878906,69.87640380859375,89.836181640625,79.09320068359375,91.6650390625,34.92259979248047,41.086585998535156,19.09856414794922,53.99364471435547,0.6351641416549683,32.13397979736328,71.31112670898438,54.78884506225586,49.74578094482422,42.64521408081055,46.183902740478516,121.9161376953125,15.114666938781738,38.203189849853516,97.15461730957031,76.27686309814453,69.068115234375,68.49224853515625,24.992572784423828,38.931396484375,18.353588104248047,50.51559829711914
