regime,mean,volatility,count,frequency
0,0.0009140969583674556,0.007103584361224994,821,0.6541832669322709
1,4.4706652423761055e-05,0.013078931915841816,422,0.3362549800796813
2,-0.01665778058006612,0.04775531196883339,12,0.009561752988047808
