strategy,total_return,annualized_return,volatility,sharpe_ratio,sortino_ratio,max_drawdown,max_drawdown_start,max_drawdown_end,avg_turnover,total_costs,cost_drag,win_rate,avg_win,avg_loss,win_loss_ratio,avg_exposure,long_exposure,short_exposure
Buy & Hold,0.6381923837486665,0.10418994791160352,0.1704786509211739,0.6666430785434927,0.6437066680040153,0.2621512206728075,184,379,0.0007968127490039841,0.0005,0.00010039840637450198,0.5410358565737052,0.007423373333437022,-0.0078088714814075234,0.9506333086812415,0.999203187250996,1.0,0.0
Kalman Trend,-0.4910566796016116,-0.12682728930323128,0.17065034936208007,-0.708590726786643,-0.6523691954126755,0.5359050451304027,0,1226,0.48844621513944225,0.3065,0.06154422310756972,0.49800796812749004,0.007140933223628662,-0.00807861293288782,0.8839306057798748,0.999203187250996,1.0,-1.0
Regime-Aware,-0.14882376204546965,-0.031837767920413707,0.08179353391016946,-0.3545863129132749,-0.3358119616704231,0.2603273658036008,146,634,0.27688506402950974,0.1737453776785174,0.03488751806771823,0.49800796812749004,0.0035842066720643126,-0.0037970828891155366,0.9439369054435338,0.6021800777707828,0.7663592630623136,-0.33510187172237893
