factor,sharpe,sharpe_ci_05,sharpe_ci_95,max_drawdown,hit_rate
PC1,-0.9201861311624965,-1.4602465003238774,-0.37772893242609723,-0.9999998948399936,0.44669848846459825
PC2,-0.5917495331683406,-1.163196518319154,-0.05266891750045235,-0.9915153537832507,0.4518695306284805
PC3,-0.494151179554699,-1.0482952732764703,0.046251633858039466,-0.9359436222821947,0.4701670644391408
PC4,0.1734642439831566,-0.3240747863738402,0.7015646247016952,-0.4577495347523064,0.5119331742243437
PC5,-0.1875533539794811,-0.6614032623102225,0.3113692959088278,-0.8305069920794813,0.4880668257756563
PC6,0.6204295544926608,0.09368582330573798,1.1388922252657379,-0.44249389328303956,0.5194908512330947
PC7,-0.09159913531271478,-0.6449491134049408,0.4287726903048611,-0.5953644612336574,0.5083532219570406
PC8,0.4630119749830574,-0.06008243510324902,0.9639659953563083,-0.34785039936296214,0.5159108989657916
PC9,0.04088621102011042,-0.5004958421143998,0.6104820368211171,-0.6934994798417056,0.49522673031026254
PC10,0.71539242736879,0.21228897509782452,1.2584340911832552,-0.604034877041197,0.515115354017502
Momentum,0.12692957528886278,-0.40652996340904207,0.636848418145476,-0.2982614191644396,0.49443118536197295
Value,-2.8564665494661936,-3.396636290437155,-2.2833502953951754,-0.9861036971154477,0.3432776451869531
Size,0.3442732177784206,-0.16784857063932412,0.8679402268149079,-0.20094664329106915,0.4824980111376293
Quality,4.446089178837541,3.925124199672954,4.9743955222592,-0.09492744353953297,0.6070007955449482
LowVol,-0.36784526523256894,-0.9180198720102801,0.13442211575823323,-0.5899875961027925,0.46539379474940334
