,,Regime,N_Obs,Mean_Return,Volatility,Sharpe_Ratio,Skewness,Max_Drawdown,Hit_Rate
bear,Momentum,bear,705,0.14784898959341863,0.16829057637828126,0.8785339784034353,-0.029692507855152688,-0.15892260477855258,0.4397163120567376
bear,Value,bear,705,-0.48360002607803015,0.15403391862254284,-3.1395684171554623,0.03870644508383522,-0.7570020841275121,0.26099290780141843
bear,Size,bear,705,0.020735863131696137,0.09288324952525884,0.22324652978529988,0.054156016415468404,-0.14453587164899784,0.43546099290780144
bear,Quality,bear,705,0.6416452860885016,0.16666057539838858,3.8500124252823476,0.032892644425103555,-0.09492744353953352,0.524822695035461
bear,LowVol,bear,705,0.10166171705187212,0.21473757903487026,0.47342303805783215,-0.034595363847631705,-0.24379578256871134,0.45390070921985815
bull,Momentum,bull,1809,-0.03267789160624287,0.1293214651262215,-0.25268729807807466,-0.39772557522163293,-0.3870176009001228,0.5157545605306799
bull,Value,bull,1809,-0.38632195407658715,0.14103744831573384,-2.7391445228911584,0.5117142449396812,-0.9447682198479809,0.37534549474847984
bull,Size,bull,1809,0.03614396881549792,0.09228479535584425,0.3916568127623743,0.22427066311904176,-0.16500093684138326,0.5008291873963516
bull,Quality,bull,1809,0.5859523507241817,0.12094082101516891,4.844950991780427,-0.1308986692007251,-0.08360901741412444,0.6390270867882808
bull,LowVol,bull,1809,-0.13049635085274555,0.160967036529685,-0.8107023255576917,0.25757078859378096,-0.6654675937327439,0.46987285793255945
