,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
2016-01-05,0.5193053649272008,0.04026659356711815,0.03403226993963028,0.029557508785078734,0.024909337304618303,0.020251382830093576,0.018254551601357364,0.01613748963638843,0.015867418341180713,0.015384243254862375
2016-01-06,0.5170398041569154,0.04046394786694136,0.03455975766805336,0.029523749089772382,0.024789907548815163,0.02031760286768354,0.018367809186784996,0.01619246084079286,0.015948162351601826,0.015417597361505962
2016-01-07,0.5187491077473778,0.040606676721115696,0.033790592048916365,0.029611229669721194,0.024719505389939465,0.020306744389706775,0.018130413028769,0.016159071485955898,0.015918084509090737,0.015433927582677347
2016-01-08,0.5222152789163385,0.04013112667357463,0.034170228031156796,0.029421170643986996,0.024139920776533846,0.02012781573249323,0.018205832609269834,0.01598998959254296,0.015822501267375097,0.01523504118095592
2016-01-11,0.5202859640888485,0.04020149446803375,0.03438903178115176,0.02947701111455164,0.024167180856911014,0.020163585160055966,0.018227988830019137,0.01613780755023196,0.01595065641221305,0.015315259147430814
2016-01-12,0.5192182820487523,0.04021731725714256,0.034161356734575474,0.030254704913767253,0.02446401998011038,0.02015035239245227,0.018227246877561505,0.016120573123035473,0.015956465526130045,0.015314891505042559
2016-01-13,0.5199623483439101,0.04019705240615865,0.03403194243595393,0.03030261610446843,0.02442302152063595,0.02004079555697334,0.018257112855623335,0.016064343570918217,0.01588607103175785,0.01531226389559061
2016-01-14,0.525214353963441,0.040026293812470554,0.033911270198130145,0.02984160455190885,0.02425205024144214,0.01990246980837732,0.01807018315970564,0.015861044701285076,0.015614139380579936,0.015192861682077173
2016-01-15,0.5262406991724474,0.039679707310603066,0.033812184288262596,0.030406238423701798,0.024403920034817155,0.019458940322361208,0.01805634153785023,0.01570000482736951,0.01549654015208578,0.015276519680429024
2016-01-19,0.5292347776074804,0.03976941040852021,0.033813658195288344,0.030320939234688312,0.02416215518952402,0.019220120331660758,0.01819465296809017,0.015496556320403957,0.015375929187969345,0.015157387964585536
2016-01-20,0.5268538320919711,0.03978831460261547,0.034303612521940155,0.030479024988325155,0.024982224030926693,0.019318829442356654,0.018187090257418482,0.015432849577906844,0.015385584654780807,0.01519734193962521
2016-01-21,0.526787353577311,0.03989174954726443,0.03506135731899331,0.030501721569505535,0.025301383079928137,0.01918036891544704,0.018101364514102276,0.015375144819528294,0.015348490433794935,0.01523746330868765
2016-01-22,0.5257367559589714,0.040188881173180174,0.035033964248249186,0.030532261742492243,0.025305866205148988,0.019024011849902756,0.01805740586164359,0.015604628512663749,0.015330753031841584,0.015200169858223197
2016-01-25,0.5270357188566281,0.04010555425701087,0.03491169203479416,0.030476078596034892,0.025302269646175757,0.019021408051251718,0.018084842850294477,0.015737150763867856,0.01527235127241854,0.015244139495274648
2016-01-26,0.5290975728827939,0.03999996865131691,0.034531925770908384,0.030287974860110933,0.025789018051597962,0.018974763309186383,0.018019701175489285,0.01564608309456058,0.015247423780927973,0.015183223763943742
2016-01-27,0.5289765489753079,0.04060981756755463,0.034459685757181786,0.030315570797512417,0.0258152336710395,0.018836827540378864,0.017988364242091204,0.015604602400850385,0.015211811755631337,0.01518513725247858
2016-01-28,0.5279938064881426,0.041023206756944285,0.035348755407798624,0.029907216558669437,0.025708460950643355,0.01857115041205829,0.017542836689435543,0.015612381269473764,0.015515779049601044,0.015024697462225688
2016-01-29,0.5230395217551618,0.04106957524576373,0.035163245284647496,0.031534223811749994,0.025332527066827357,0.0202316103434656,0.01763204821653534,0.015659700230215644,0.015497564919844848,0.015037679211791971
2016-02-01,0.5273404479921746,0.04065059572996756,0.03475526624214586,0.03129431163134652,0.025329026152938295,0.020429637651029182,0.01732263512326312,0.015470734797501481,0.015290801888384484,0.014868826011633024
2016-02-02,0.5269516610800198,0.04075187168915339,0.03509985331576569,0.03080030411028958,0.024772302339967505,0.020655728267728723,0.0179393448975179,0.015577789486867671,0.015396292420038373,0.014989039506309565
2016-02-03,0.5289018511780418,0.03985576159503164,0.03588665957196464,0.03059608728921197,0.024440892349107287,0.020537955684198958,0.017814818274341518,0.015810075672127753,0.015384927249648423,0.014832074825222122
2016-02-04,0.525494385217273,0.03982650870346439,0.035926947428910935,0.03223040122930157,0.02448707271795874,0.02078282945396934,0.01757419845351425,0.016228111314133764,0.01544144619313492,0.015024788933848218
2016-02-05,0.5244265755444321,0.04038222375100509,0.037310891930045435,0.031774154889874576,0.02452539786593478,0.020175185512081206,0.0178586657723047,0.016140949154989013,0.015412778243844585,0.015301079201531799
2016-02-08,0.5234454905008445,0.042285335936106665,0.03820778290808624,0.03218385499342953,0.02420844407901154,0.019846515587096537,0.017732199030480407,0.016036715647875843,0.015491660689021986,0.015130330796002057
2016-02-09,0.5205822640604961,0.045159125478960005,0.03817645647994527,0.03284442993516444,0.02364642699414786,0.020159442750797115,0.017546414170168684,0.016749427005756528,0.015412529085851463,0.015131921033218497
2016-02-10,0.5190634584413302,0.04510896430970292,0.03792848427357925,0.03287874132373413,0.02356844678220734,0.020255766381393755,0.01752277989663717,0.016742829040795822,0.015846293586810292,0.015155108835004616
