,,Regime,N_Obs,Mean_Return,Volatility,Sharpe_Ratio,Skewness,Max_Drawdown,Hit_Rate
low_vol,Momentum,low_vol,1288,-0.02161435264568065,0.0997456260528102,-0.21669474142391926,-0.21965946449048265,-0.27811134438812657,0.4658385093167702
low_vol,Value,low_vol,1288,-0.3227875641887576,0.10070356739812203,-3.205324027029226,0.4115941230177236,-0.8234787499494762,0.28804347826086957
low_vol,Size,low_vol,1288,-0.024202350544096432,0.07607038089816057,-0.3181573466353139,0.061016874543142786,-0.22828295794989084,0.4611801242236025
low_vol,Quality,low_vol,1288,0.509046034852734,0.09542594475585225,5.334461567607539,0.1573331619934682,-0.041587144703451574,0.5908385093167702
low_vol,LowVol,low_vol,1288,-0.0236819840632499,0.12673273783095138,-0.1868655603009166,0.3645181935946136,-0.24526925367803057,0.4580745341614907
high_vol,Momentum,high_vol,1226,0.05857465141320591,0.174856026028669,0.33498789114423855,-0.21041190915268881,-0.2727919939638756,0.5244698205546493
high_vol,Value,high_vol,1226,-0.5090080781143107,0.17967821466796768,-2.8328869977638678,0.3672394083284619,-0.9242104591593723,0.401305057096248
high_vol,Size,high_vol,1226,0.08608954745099315,0.10659031822592734,0.8076676088771867,0.1405084211927767,-0.16049666858358888,0.499184339314845
high_vol,Quality,high_vol,1226,0.6987735703758987,0.1670784212438168,4.18230891322693,-0.1472983147949443,-0.09492746832643906,0.6239804241435563
high_vol,LowVol,high_vol,1226,-0.10921224657208846,0.21895577076141393,-0.49878679238416623,0.11830541041028948,-0.5140428257849893,0.4730831973898858
