Ticker,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AAPL,-0.7073827974976853,0.3019178088683384,-0.08248097690230098,-0.03377554218517738,-0.05728091650322253,0.12255983712983176,0.03554537316964601,0.0035836658183309718,-0.0016420138181178344,0.05542628514354604
ABBV,-0.515817596871468,-0.2862040174704066,-0.13862048065876623,0.42187627863864147,-0.01607095262979671,0.07512410385637636,-0.05163339025404432,-0.10348385491665041,0.04640038748016179,0.10016669632860757
ABT,-0.6900826181730964,-0.12143631377523892,-0.248411791881961,0.19252187134437623,0.04639366806205545,-0.23205792312929183,0.08074834616592313,0.07244143518627065,0.06731944774643131,-0.051014228603257626
ACN,-0.7868339905009317,0.08714526340644856,0.0030795072581331555,-0.057435794356740046,0.12351725980161563,-0.09082989261465725,0.026980799565163426,0.06132689125529339,-0.059694183264551816,-0.08748083909625408
ADBE,-0.7031779449765649,0.4109967522691514,-0.17237417386840975,-0.007535728995910538,0.15480505914953685,0.04685740857118054,0.012683448280108563,0.08024119853585085,-0.008378113297745083,-0.04807066895412376
AMGN,-0.5947350526469425,-0.23079995689038169,-0.2146962765779594,0.35397157306935567,-0.11371810261090871,0.0503223333111027,-0.0810059480025209,-0.21635938135317634,-0.0026083908359198224,0.028487040152620977
AMZN,-0.6376708985083684,0.4460454551981582,-0.15203723133431007,-0.02406215505445174,0.13672415133999044,0.14429949509704124,-0.14937417983331933,0.009729527032191364,0.14656747401925435,-0.04810947279883381
AVGO,-0.6555800736017992,0.36030266990485477,0.038764819042053165,0.0357295757963453,-0.30031096721357187,0.04151373625194439,0.17143291156778798,-0.04978994783168538,-0.16066033179468892,0.08043645507154944
BMY,-0.48677418826193813,-0.32969934332030204,-0.1445673101470784,0.38011657139619753,0.025231344106599076,0.029039678882278572,-0.04263850824260857,-0.15346175784413188,0.037552032733798486,0.1496607649848514
CMCSA,-0.6253753292831985,-0.09570844034334362,0.144104037946415,-0.10216557820201023,0.0032703568934645605,0.024537759101208128,-0.11918446674575746,-0.4156178243450574,0.23373410555382423,-0.15102161432042185
COST,-0.6328005318433748,0.04307358873892808,-0.2129040753315957,-0.2429774532447352,-0.2059588047479106,0.009820072406415057,-0.3795857299128485,0.1628766822332882,-0.044416207749174,0.04074856081084881
CRM,-0.6627993521693505,0.36755999436695747,-0.08095562599774132,0.030783291950503403,0.21110286829112573,0.03879649627537418,-0.0012905240948904737,0.06850740885801104,0.05114767466269545,-0.037418527325217756
CSCO,-0.7529162785210504,0.0050641427261632664,0.04323231956508977,0.024228203351024925,-0.08076847339028063,-0.0007341553681365323,-0.017693558013582505,0.004661152300094093,-0.09599139032351926,-0.1679576659170413
CVX,-0.533109529825221,-0.2143626565692481,0.5234674629853995,0.13960854890215418,-0.09967860559733042,0.26862539978298233,0.050205454984831734,0.3645713924017659,0.18792183683769412,-0.06028236164814497
DHR,-0.6763399429594389,-0.003003433848273465,-0.242775363267343,0.1223783334649729,-0.004389124594999188,-0.396105119776561,0.17521177270537266,0.20492761101158505,0.158144151961817,-0.039430165547404625
DIS,-0.6333688467378304,0.04323564593670712,0.2821626470272056,-0.13634266345594698,0.15147914825373796,-0.04405445253462432,-0.10064812623600594,-0.25231724224622737,0.21767285172218717,-0.05451944663146345
GOOGL,-0.7125527279896735,0.3404272847952574,-0.08502256344839565,0.011098153334455092,0.17194340000292416,0.18243485731309303,-0.03975883720755505,-0.01302007543610886,0.0810505509988635,-0.07487847551628135
HD,-0.6943721206828501,-0.0027607724205494576,-0.01352670935901757,-0.15209197295788762,-0.0733417319935542,-0.234964238477618,-0.22468408597680425,-0.015810326945199623,0.02261397781850329,0.015695912881039633
HON,-0.7448947004896748,-0.1282055934037935,0.27645263410033116,-0.02614544120395055,0.033568893801021876,-0.11591720195326272,0.014550652189371195,-0.0032360769936456866,-0.13557622253541718,0.05517763199638892
INTC,-0.6429255496078194,0.23186307786275795,0.07848462689231404,0.02458581310851024,-0.351907931228302,0.03977077090753912,0.16574686745881528,-0.14126383591056982,-0.03258213410866775,-0.06935632512466208
JNJ,-0.5797177152814592,-0.43584488387720344,-0.2188154026555049,0.15734646846835354,-0.0149990632199506,0.037000104735660504,-0.003540347290873827,-0.06170759182277196,-0.02624864090819038,-0.030610612316528396
JPM,-0.6744702930006263,-0.13262171654963814,0.4689102504025382,0.09725171081328046,0.06774334686572894,-0.12111777596216451,-0.11090484805523874,-0.09582444204008769,-0.09356799985358542,0.04874962328650362
KO,-0.6187277236966944,-0.43453999105489494,-0.07252664026807419,-0.33932466189622246,0.0868749541314786,0.10793892172421864,0.18819660679303143,-0.016054430871619212,-0.09582426040491258,0.08013582144926938
LLY,-0.4772930151473862,-0.2087225280404213,-0.2985819672027553,0.3446207598803006,-0.019697406162471186,0.23839996239816358,-0.10580116297368061,0.02488708071223271,-0.05897956559238628,-0.020844357172702
MA,-0.7742515254071227,0.12093789849307418,0.09678789372484758,-0.009426310851550592,0.3315405207845369,0.021440414456125493,0.0691762631707442,0.03425820207882542,-0.13805560500312716,-0.00036140905362076184
MCD,-0.6025221262816244,-0.21316363942406996,-0.039727657003273686,-0.21692578009193053,0.14231887484004951,-0.03263878843046591,0.06105139751124373,-0.021477203325758275,-0.18550723010331868,0.15043929103645132
META,-0.6218866961842799,0.4078976544896454,-0.10709799993778284,-0.008120716930744029,0.17964915885306845,0.19208876577592704,-0.05902512121166597,-0.10526818170491009,0.10533217029433689,-0.08717453326593363
MRK,-0.5194835216249865,-0.39850112423843687,-0.21570560824470428,0.31385961090176,0.03941306331353993,0.11991023033098874,0.02292399393205209,0.00664094116140301,-0.027432205970881616,0.011160247388946035
MSFT,-0.7776917647601544,0.33931766290866133,-0.1612925124333487,-0.016179916810157534,0.09510611925489913,0.11938121087582369,0.008112884812588313,0.05620103510553383,-0.036557692482327826,-0.08288095412253986
NEE,-0.47568388749160184,-0.2631202090105886,-0.21236665103956173,-0.3341301992563244,0.000493310937124459,-0.054152852323155254,0.23279887870844568,0.10636381625823982,0.29110462248806596,0.07875390331284596
NKE,-0.6540270597072178,0.07943520511318228,0.08297882352962624,-0.14472793574319956,0.09550650348801552,-0.20892116080019515,-0.08999893003042705,-0.023377538916143716,0.06713241401457115,0.09867135589184652
NVDA,-0.6212130044611957,0.505344818010903,-0.04662883377280173,0.03178308278142231,-0.18078459171430997,0.050972430603041685,0.07411352240080714,0.010083046676221707,-0.034368220428054305,0.019207995674504815
ORCL,-0.6618180776719793,0.10970352577867433,-0.004800238762261819,0.01418453190454391,-0.002763829610515631,0.05298970595667872,-0.07408680662669234,0.061333562454837,-0.25310100974823546,-0.19594619536142868
PEP,-0.6027261154306504,-0.3830737799029041,-0.26841219579550574,-0.34685278441183864,-0.01944640771653374,0.14607063215928864,0.11894784368628718,-0.023225075345769692,-0.10917181639315102,0.03585482611593274
PG,-0.5684047605348204,-0.3941093238140028,-0.2733786108313845,-0.30068128384819204,-0.04314413207440714,0.07153895032647818,0.0912412395926472,-0.005953412003947827,-0.10368268632979974,-0.028613354223375936
PM,-0.5144390638280938,-0.378428334352224,0.018886245685551344,-0.20220553458328877,9.865704278323502e-05,0.18811254752175927,0.20830138948678467,-0.1231754165329346,0.00705049935441147,0.04626603527483888
QCOM,-0.6329274940637698,0.3521150902132539,0.08018020652978612,0.025440923299618213,-0.33291186753468033,0.013472538534189065,0.16729700420306903,-0.10038465097957694,-0.039395272108428164,0.005885051196575608
RTX,-0.6262623030831855,-0.19361793697197444,0.3538457762823817,-0.01508761687330923,0.08440724014081738,0.00702354928152039,-0.002829467906129871,0.07797505267216556,-0.11434350886072008,0.18018905622779238
TMO,-0.6846677072690894,0.006565329660053752,-0.26770918970819046,0.2030391590756656,0.01292586294806411,-0.36919786066644045,0.12770258534131393,0.19797339054321184,0.14173776745585254,-0.02550233874109908
TSLA,-0.43977962803862725,0.3548908408572756,-0.0019141083739816498,-0.04196671902678321,-0.04940930691579993,0.06889744597621164,-0.011214803738686817,-0.029377017267873,0.286105842412178,0.6242518326633304
TXN,-0.7450498360101933,0.2560308335944385,0.07950688922405828,0.03649534770412301,-0.32300779045670924,-0.03285764983708751,0.16582093915566712,-0.07374290569565506,-0.08410256418584396,-0.009866301008212718
UNH,-0.5553435978646513,-0.22405670933962288,-0.06869838158878265,0.20005045845685282,0.04288868450511755,-0.03466068331142113,-0.09871885013646557,0.1017682268766464,-0.05765505734028797,0.09283111387360378
UNP,-0.6462140271626203,-0.12444508731252725,0.29658880457539416,0.009545260615433485,-0.06258796087288465,-0.2332910895073708,-0.01797449846171265,0.035264674664555476,-0.0727393388896891,-0.029209931777309114
UPS,-0.6529614615342924,-0.04550594825460465,0.12535044841846782,-0.0755871422454454,-0.15295607069774475,-0.2320847419924146,-0.11469174974831187,-0.020397045431821977,0.03432127940991396,-0.10939358942759432
V,-0.7721903676129132,0.08909234631135035,0.08363994032410149,0.0016423211116994762,0.3440333110073363,0.025426017105081303,0.05327684396333065,0.023181278595890104,-0.1372263976149658,0.009994642817753066
