,turnover
0,0.0
1,0.2175839733949283
2,0.24193093551372077
3,0.1990930653715296
4,0.1308859166805614
5,0.27773567761735807
6,0.3059116054728834
7,0.3334632476628003
8,0.3031948744508424
9,0.2597535528890411
10,0.31318866782046506
11,0.2771125936308458
12,0.2034155821518828
13,0.2560311702706811
14,0.2243108864662717
15,0.33521690549188504
16,0.22378841106635508
17,0.27171640042966505
18,0.20445919122780148
19,0.29001136542718864
20,0.2348346661004866
21,0.23298445855154573
22,0.27705316917982037
23,0.2654744783563929
24,0.27554570675249046
25,0.1701099506472803
26,0.332451415750209
27,0.27277966222625943
28,0.17719081350689783
29,0.31275781578701733
30,0.2611923064028693
31,0.2870240100407444
32,0.19245781764544131
33,0.277043177207019
34,0.058100553420547596
35,0.16700748261854748
36,0.21783321300628328
37,0.2860112615274378
38,0.3501731655690215
39,0.3184856714577876
40,0.24073734288843682
41,0.3051641851653481
42,0.2289438889526186
43,0.1545642442070032
44,0.2870012869103711
45,0.306580099366983
46,0.3301602962565436
47,0.3335599258279263
48,0.2961695009770999
