factor,sharpe,sharpe_ci_05,sharpe_ci_95,max_drawdown,hit_rate,deploy_gate
PC1,-0.9201861311624964,-1.4602465003238774,-0.3777289324260972,-0.9999998948399936,0.4466984884645982,reject_or_hedge_only
PC2,-0.5917495331683406,-1.163196518319154,-0.0526689175004523,-0.9915153537832508,0.4518695306284805,reject_or_hedge_only
PC3,-0.494151179554699,-1.0482952732764703,0.0462516338580394,-0.9359436222821949,0.4701670644391408,reject_or_hedge_only
PC4,0.1734642439831566,-0.3240747863738402,0.7015646247016952,-0.4577495347523064,0.5119331742243437,reject_or_hedge_only
PC5,-0.1875533539794811,-0.6614032623102225,0.3113692959088278,-0.8305069920794813,0.4880668257756563,reject_or_hedge_only
PC6,0.6204295544926608,0.0936858233057379,1.138892225265738,-0.4424938932830395,0.5194908512330947,reject_or_hedge_only
PC7,-0.0915991353127147,-0.6449491134049408,0.4287726903048611,-0.5953644612336574,0.5083532219570406,reject_or_hedge_only
PC8,0.4630119749830574,-0.060082435103249,0.9639659953563084,-0.3478503993629621,0.5159108989657916,reject_or_hedge_only
PC9,0.0408862110201104,-0.5004958421143998,0.6104820368211171,-0.6934994798417056,0.4952267303102625,reject_or_hedge_only
PC10,0.71539242736879,0.2122889750978245,1.2584340911832552,-0.604034877041197,0.515115354017502,reject_or_hedge_only
Momentum,0.1269295752888627,-0.406529963409042,0.636848418145476,-0.2982614191644396,0.4944311853619729,reject_or_hedge_only
Value,-2.8564665494661936,-3.396636290437155,-2.2833502953951754,-0.9861036971154477,0.3432776451869531,reject_or_hedge_only
Size,0.3442732177784206,-0.1678485706393241,0.8679402268149079,-0.2009466432910691,0.4824980111376293,reject_or_hedge_only
Quality,4.446089178837541,3.925124199672954,4.9743955222592,-0.0949274435395329,0.6070007955449482,research_further
LowVol,-0.3678452652325689,-0.91801987201028,0.1344221157582332,-0.5899875961027925,0.4653937947494033,reject_or_hedge_only
